DateTime,A14,A15,A16,A17,A7,B14,B15,B16,B17,B7,C14,C15,C16,C17,C7
2020-07-01T00:00:00.0,-0.3025699203693223,-0.2820105225190165,-0.4725814089246113,-0.4520220110743056,-1.1709946028948663,-0.5988563025766529,-0.8678200195544701,-0.9643407129034123,-1.2333044298812186,-1.0008071791578512,-0.27223290333798644,-0.33552392276041143,-0.92380814316811,-0.9870991625905348,-0.49579490018506067
2020-07-01T01:00:00.0,-0.3137202924324166,-0.23598244299324705,-0.5086429083340441,-0.43090505889487485,-1.251014354781872,-0.5959068935745617,-0.9234037154696719,-0.9492566662047714,-1.2767534880998754,-0.9290830683251282,-0.1865669436543298,-0.1729515373841286,-0.8939056319452692,-0.8802902256750678,-0.47830337557278124
2020-07-01T02:00:00.0,-0.34142693680415087,-0.18438416587451723,-0.5733041079097985,-0.4162613369801645,-1.3932046176454804,-0.6260697769870699,-0.9566309897209777,-1.009535760665409,-1.3400969733993184,-0.9700704885849698,-0.3179701049749215,-0.23342443724862605,-0.9642504920099658,-0.8797048242836704,-1.0117868048091303
2020-07-01T03:00:00.0,-0.5167312342131806,-0.25867147820821823,-0.9003932191332301,-0.6423334631282678,-1.9007852741157287,-0.6078660177831083,-0.8528506595637213,-1.008396208774458,-1.2533808505550699,-1.0457939841345743,-0.5152717228465398,-0.4935142711385119,-0.9985415261577653,-0.9767840744497371,-1.2387042847337602
2020-07-01T04:00:00.0,-0.4578809646161925,-0.22467072610832878,-0.7936697730368527,-0.560459534528988,-1.7459500688427063,-0.5998481426858366,-0.8180561096373236,-1.0064095231404928,-1.2246174900919804,-1.068910437515266,-0.6390109044964376,-0.6203910908327881,-1.0705542479496115,-1.0519344342859624,-1.4806180220141512
2020-07-01T05:00:00.0,-0.484983279790674,-0.2903100183715369,-0.8133229578887662,-0.6186496964696291,-1.7232003309802482,-0.6222481936702446,-0.8192662626310254,-1.029209523399143,-1.2262275923599295,-1.1772043958983673,-0.8088242355810844,-0.7180839856301113,-1.0688468403744187,-0.9781065904234452,-1.4467118994014667
2020-07-01T06:00:00.0,-0.5179616469330363,-0.3286634878172242,-0.8913322613405048,-0.7020341022246914,-1.801451284466383,-0.572999232326844,-1.2714460119933022,-0.9333089830924794,-1.631755762758933,-1.0112091313207061,-1.0127695877168978,-1.0376006705464396,-1.3538755368280926,-1.3787066196576343,-1.3783984227667236
2020-07-01T07:00:00.0,-0.5030800646975314,-0.36216813545755266,-0.8796632494550356,-0.7387513202150569,-1.626933213870655,-0.6542896403749732,-1.324515854409273,-1.0720610455848258,-1.7422872596191248,-1.2964329962107919,-0.9905877711450244,-1.0797881332178227,-1.2850069923280831,-1.3742073544008817,-1.4469655860871327
2020-07-01T08:00:00.0,-0.3980198769250487,-0.35402352941902343,-0.671495823108659,-0.6274994756026333,-1.2460866473883525,-0.7365829269519334,-1.4652157912845456,-1.1751599711476541,-1.9037928354802707,-1.4094478476164713,-1.2017487283268826,-1.2503713581561193,-1.4699325111917079,-1.5185551410209437,-1.5684678723780268
2020-07-01T09:00:00.0,-0.3638116634463029,-0.4220088152651089,-0.600465038842233,-0.6586621906610389,-1.082760968315653,-0.7004823765660715,-1.3858274774140686,-1.1009841430868628,-1.7863292439348606,-1.4015757915439973,-1.2786946142964308,-1.5433361318660208,-1.573918366760596,-1.838559884330185,-1.5494131814836072
2020-07-01T10:00:00.0,-0.3886860511816826,-0.48226410186016133,-0.6497551631713945,-0.7433332138498726,-1.1093957889733113,-0.7595960208878068,-1.4842269102497294,-1.1953570690129736,-1.9199879583749393,-1.4834609189474115,-1.3747597301614296,-1.623324243832076,-1.7319502436813146,-1.9805147573519604,-1.7313447302363716
2020-07-01T11:00:00.0,-0.35158294441668525,-0.508066237650907,-0.6124527388531624,-0.7689360320873841,-1.0535733849470104,-0.7277280354674815,-1.4255039493776394,-1.1983840812086897,-1.8961599951188446,-1.3833176476704936,-1.3208721584891157,-1.6954559401860667,-1.705151791372801,-2.079735573069751,-1.5811015259770014
2020-07-01T12:00:00.0,-0.3807486600496651,-0.5068569288957252,-0.6726884596062062,-0.7987967284522663,-1.2123711266160875,-0.7200956213224226,-1.441706183524883,-1.1875942575221716,-1.90920481972462,-1.3387833326563254,-1.45160273745444,-1.6880515696412584,-1.999604422443051,-2.236053254629869,-1.0672777014313755
2020-07-01T13:00:00.0,-0.43969075798907664,-0.5607799671072613,-0.7563504403577189,-0.8774396494759036,-1.3631634216387154,-0.7549875753031543,-1.5163882220285707,-1.220701329052205,-1.9821019757776326,-1.3870453073338362,-1.3938941074488294,-1.7669094135656933,-1.8694634237516663,-2.24247872986853,-0.947606112775806
2020-07-01T14:00:00.0,-0.48818097158099794,-0.6786998129468519,-0.7916311618485313,-0.9821500032143844,-1.3306911430257624,-0.9807016824562056,-1.7963804521686686,-1.387283885315438,-2.2029626550279,-1.3390233454451281,-1.4663076232855055,-1.7502174378109103,-1.9553419453807588,-2.239251759906163,-1.1303911981640287
2020-07-01T15:00:00.0,-0.5670325617675158,-0.7495875740147564,-0.9066668037082577,-1.0892218159554985,-1.5266315174101006,-0.9711640392368914,-1.8210613171633065,-1.3579083053650685,-2.20780558329157,-1.3381038140672188,-1.322939864738955,-1.6954078589357433,-1.7393695297598875,-2.111837523956675,-1.0532503473666284
